기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20250607,출발시간,1635,ST-2711,중계1동_020_1,ST-1426,중계4동_034_1,1,7.0,928.0
20250607,도착시간,2045,ST-1036,역촌동_044_1,ST-87,성산2동_001_2,1,103.0,10533.0
20250607,출발시간,1015,ST-1266,중곡1동_022_1,ST-947,삼선동_026_1,1,53.0,9629.0
20250607,도착시간,1725,ST-2760,신정2동_021_1,ST-2879,신정2동_026_1,1,2.0,495.0
20250607,도착시간,1215,ST-1598,상일2동_007_2,ST-1370,둔촌2동_041_1,1,35.0,5955.0
20250607,출발시간,1910,ST-2486,공항동_004_2,ST-1645,공항동_030_1,1,5.0,925.0
20250607,출발시간,2130,ST-3353,장안1동_069_1,ST-394,장안1동_013_1,1,15.0,1210.0
20250607,도착시간,310,ST-1381,면목본동_016_1,ST-1452,면목7동_013_1,1,16.0,1123.0
20250607,출발시간,1230,ST-702,신림동_006_1,ST-702,신림동_006_1,1,45.0,3139.0
20250607,도착시간,1710,ST-2414,잠원동_013_1,ST-2414,잠원동_013_1,1,,
20250607,출발시간,2000,ST-749,반포3동_024_1,ST-2688,압구정동_026_1,2,112.0,19164.0
20250607,출발시간,1810,ST-2726,창4동_001_6,ST-1291,"상계6,7동_027_3",1,39.0,4051.0
20250607,출발시간,530,ST-2979,연남동_029_2,ST-82,성산2동_012_2,1,12.0,2265.0
20250607,출발시간,2320,ST-2807,당산2동_039_1,ST-1964,신도림동_030_1,1,35.0,2200.0
20250607,출발시간,1540,ST-3085,명일1동_008_1,ST-487,천호2동_041_2,1,14.0,2125.0
20250607,출발시간,1720,ST-2569,가양1동_016_7,ST-2036,가양1동_017_2,1,5.0,649.0
20250607,도착시간,1825,ST-3046,종암동_046_1,ST-3046,종암동_046_1,1,27.0,2168.0
20250607,도착시간,1600,ST-376,마장동_019_1,ST-376,마장동_019_1,1,,
20250607,도착시간,2125,ST-204,용강동_039_1,ST-1699,문래동_002_1,1,26.0,5299.0
20250607,출발시간,1345,ST-971,월계3동_001_4,ST-2710,상계8동_002_1,1,24.0,5463.0
20250607,도착시간,2120,ST-749,반포3동_024_1,ST-2438,이촌1동_001_2,1,36.0,5210.0
20250607,도착시간,100,ST-646,번1동_034_2,ST-2085,"중계2,3동_011_1",1,46.0,5237.0
20250607,도착시간,605,ST-1438,다산동_017_1,ST-365,금호4가동_007_1,1,6.0,406.0
20250607,출발시간,2135,ST-1279,"상계6,7동_027_2",ST-1476,상계10동_034_1,1,5.0,868.0
20250607,출발시간,200,ST-3119,방학1동_050_1,ST-3050,도봉2동_001_5,1,15.0,2966.0
20250607,출발시간,1405,ST-1978,양평1동_027_1,ST-285,문래동_008_1,1,107.0,1292.0
20250607,도착시간,2125,ST-3003,성수2가3동_004_2,ST-2309,구의3동_044_1,1,24.0,2484.0
20250607,출발시간,15,ST-983,중곡1동_015_1,ST-3141,풍납1동_009_1,1,31.0,4150.0
20250607,도착시간,345,ST-99,자양3동_036_1,ST-2321,화양동_040_1,1,23.0,2272.0
20250607,출발시간,950,ST-2190,후암동_020_1,ST-439,남영동_009_1,1,4.0,516.0
20250607,출발시간,1145,ST-2979,연남동_029_2,ST-32,서교동_033_1,1,12.0,1853.0
20250607,출발시간,205,ST-1731,목1동_003_5,X,,1,50.0,1176.0
20250607,출발시간,935,ST-2490,가양1동_001_2,ST-2032,가양1동_012_6,1,8.0,1325.0
20250607,출발시간,1240,ST-2621,방이1동_003_1,ST-2877,오금동_012_1,1,3.0,496.0
20250607,출발시간,2030,ST-840,잠실3동_017_1,ST-2601,잠실4동_039_1,1,15.0,970.0
20250607,도착시간,940,ST-2775,응암1동_032_1,ST-460,응암3동_007_1,2,15.0,2759.0
20250607,도착시간,1745,ST-285,문래동_008_1,ST-918,구로4동_002_2,2,51.0,6170.0
20250607,출발시간,835,ST-102,자양1동_036_1,ST-1660,자양3동_013_1,1,6.0,1191.0
20250607,출발시간,1515,ST-2726,창4동_001_6,ST-2085,"중계2,3동_011_1",1,18.0,2593.0
20250607,출발시간,1705,ST-516,등촌1동_012_1,ST-1508,염창동_058_1,1,7.0,1620.0
20250607,도착시간,1900,ST-2335,마장동_014_1,ST-2420,사근동_002_1,1,4.0,748.0
20250607,도착시간,1505,ST-3075,사직동_009_10,ST-3297,소공동_003_1,1,2.0,1020.0
20250607,출발시간,2340,ST-612,상계1동_028_1,ST-3301,상계2동_033_1,1,17.0,3209.0
20250607,출발시간,1005,ST-818,도곡1동_004_2,ST-1729,삼전동_044_1,1,30.0,5682.0
20250607,출발시간,1540,ST-1124,상계2동_025_1,ST-1284,중계1동_021_1,1,7.0,582.0
